    ,InsuranceType,DateFrom,DateTo,Status,InsurancePolicyNo,ChassisNumber
BAD1867,1,06-06-16,23-02-17,1,,LAZZ5CLSB6GW140607
ABT9734,,03-07-19,30-06-20,,1355519,AE110-6011831
BAE9180,,01-04-20,31-03-21,,1571759,GSE20-5032585
BAF625,,01-04-20,31-03-21,,1571742,SALLAAA3CA650919
BAD788,,01-04-19,31-03-20,,1354677,LZGJLDR49FX039106
BAF381,,01-04-19,31-03-20,,1354678,XZU411-0006881
BAG 6488ZM,,01-04-19,31-12-19,,,ANH10-0006669
BAD 1016,,06-04-20,31-03-21,,,AFAPXXMJ2PCK50343
ALF 7386,,01-04-19,31-03-20,,,RCH41-0005733
BAG 435ZM,,01-04-20,31-03-21,,,FB4JEA-11153
ALM7096,,01-07-19,30-06-20,,1354683,ADMTFR54D5B286767
BAF 1260ZM,,01-01-20,30-06-20,,1570975,WDB2201652A224852
BAE 5675,,02-01-20,31-12-20,,,UZJ100-0132390
BAD 3081,,02-01-20,31-12-20,,,SALLDCH772V844646
BAH7411ZM,,01-04-20,31-03-21,,1571692,FB50AB561632
BAG214ZM,,01-04-20,30-06-20,,1570876,LA996RGC3H0SYL220
BAH1821ZM,,04-04-19,31-03-20,,1354689,LZZ5ELND4HN284736
BAK7109ZM,,01-04-20,31-03-21,,1571618,JTMHV0SJ604171009
ALG 7892,,05-04-19,31-03-20,,,JL7BCC2J08K005189
BAK2532ZM,,05-04-19,31-03-20,,,AHTYZ59G408030547
BAD8048,,21-11-18,30-09-19,,1354693,LVBV6PECXEL005991
BAD8047,,21-11-18,30-09-19,,1354694,LVBV6PEC2EL006164
BAD8044,,21-11-18,30-09-19,,1354695,LVBV6PECIEL005992
BAD8153,,21-11-18,30-09-19,,13546996,LVBV6PEC5GH010876
BAD8078,,21-11-18,30-09-19,,1354697,LVBV6PEC7EL006161
APB2377ZM,,01-04-20,31-03-21,,1571757,LZZ5EX5E1JN390362
BAG 5062ZM,,01-04-20,31-03-21,,1571739,MMBJNKL30GH075153
ALZ 8778,,01-03-19,31-12-19,,,AHTFZ29G209014573
BAK8501ZM,,08-04-19,30-09-19,,1354704,LZZ5EXSC9JN430038
,,08-04-19,30-09-19,,"13
1354703",
BAK8291ZM,,08-04-19,30-09-19,,1354704,LZZ5EXSC7JN430037
,,,,,1354704,
ALB1106,,01-04-20,31-12-20,,,AFATXXMJ2TAA00203
ALB6431,,01-04-20,31-03-21,,,AFATXXMJ2TBC00193
AJC7364,,12-04-19,31-03-20,,1354703,AHTFZ29G429895277
BAH6507ZM,,13-04-19,31-03-20,,1354709,YV1CZ-91G841068716
BAH2310ZM,,15-04-19,31-03-20,,,RZJ95-0042756
11CD36Z,,01-04-20,31-03-21,,1571758,TZ50-001729
BAK7508ZM,,01-07-19,30-06-20,,1355421,LZGJRDR69JX013730
BAK7418ZM,,01-07-19,30-06-20,,1355423,LZGJRDR60JX013731
BAK6361ZM,,17-04-19,31-03-20,,,L1C39HRG0J0000327
BAK7413ZM,,01-07-19,30-06-20,,1355420,LZGJRDR66JX013734
BAK7417ZM,,01-07-19,30-06-20,,1355424,LZGJRDR62JX013732
GRZ777CR,,19-04-19,31-03-20,,1354717,MM6UROYD1K0879403
BAK7414ZM,,01-07-19,30-06-20,,1355422,LZGJRDR64JX013733
ALV 9095,,01-07-18,30-06-19,,150762,LGWDBBC177DC619781
,,04-04-18,31-03-19,,151000,LVAV2MBBXGJ004204
BAA 3679,,01-06-16,30-09-16,,150764,LGAX5DF53E3812308
BAA 3680,,01-06-16,30-09-16,,150765,LGAX5DF5XE3812306
BAA 3693,,25-06-16,30-09-16,,150766,LGAX5DF55E3812309
TBA 79,,27-06-16,30-09-16,,150767,LVBV5PDB0GL001379
TBA 81,,27-06-16,30-09-16,,150768,LVBV5PDB9GL001381
ALV4618,,01-07-16,30-06-17,,150769,LGAX4DD3XE3810723
ALV4617,,01-07-16,30-06-17,,150771,LGAX4DD30E3810723
ALV4626,,01-07-16,30-06-17,,150772,LGAX4DD34E3810717
ALV4627,,01-07-16,30-06-17,,150773,LGAX4DD30E3810732
ALV4625,,01-07-16,30-06-17,,150774,LGAX4DD34E3810734
ALV4623,,01-07-16,30-06-17,,150775,LGAX4DD37E3810713
ALV4622,,01-07-16,30-06-17,,150776,LGAX4DD39E3810714
ALV4606,,01-07-16,30-06-17,,150777,LGAX4DD32E3810716
ALV4603,,01-07-16,30-06-17,,150778,LGAX4DD36E3810718
ALV4613,,01-07-16,30-06-17,,150779,LGAX4DD3XE3810737
ALV4615,,01-07-16,30-06-17,,150780,LGAX4DD31E3810724
ALV4630,,01-07-16,30-06-17,,150781,LGAX4DD37E3810730
ALV4620,,01-07-16,30-06-17,,150782,LGAX4DD33E3810711
ALV4621,,01-07-16,30-06-17,,150783,LGAX4DD39E3810731
ALV4607,,01-07-16,30-06-17,,150784,LGAX4DD36E3810721
ALV4609,,01-07-16,30-06-17,,150785,LGAX4DD31E3810738
ALV4610,,01-07-16,30-06-17,,150786,LGAX4DD35E3810709
ALV4611,,01-07-16,30-06-17,,150787,LGAX4DD31E3810710
ALV4614,,01-07-16,30-06-17,,150788,LGAX4DD38E3810722
ALV8920,,01-07-16,30-06-17,,150791,NZE121-3036279
ABX666,,01-07-16,30-06-17,,150790,PD22-000578
ALV7298,,01-07-16,30-06-17,,150792,LGAX4DD34E3810720
ALX5124,,01-07-16,30-06-17,,150793,WDC163154-2A226372
BAC 2512,,01-04-20,31-03-21,,150794,V97W-0001703
BAA4698,,01-07-16,30-06-17,,,LGAX4DD30E3812805
BAA4694,,01-07-16,30-06-17,,150799,LGAX4DD38E3812795
BAA3694,,01-07-16,30-06-17,,150800,LGAX4DD38E3812809
BAA3691,,01-07-16,30-06-17,,150801,LGAX4DD34E3812810
BAA3581,,01-07-16,30-06-17,,150802,LGAX4DD39E3812785
BAA4692,,01-07-16,30-06-17,,150803,LGAX5DF57E3812700
BAA4697,,01-07-16,30-06-17,,150804,LGAX5DF55E3812780
BAA4699,,01-07-16,30-06-17,,150805,LGAX5DF56E3812769
BAA4702,,01-07-16,30-06-17,,150806,LGAX5DF58E3812739
BAA4703,,01-07-16,30-06-17,,150807,LGAX5DF52E3812753
BAA3689,,01-07-16,30-06-17,,150808,LGAX5DF53E3812311
BCA 4629,,01-07-16,30-09-16,,150809,AHTEZ39G707026764
ACV 8464,,01-04-20,31-03-21,,1571632,IGNSCJE06DR131764
ALG 7826,,01-07-16,31-12-16,,150811,LVAV2MBB9GJ029122
ALZ 9471,,01-07-16,30-06-17,,150812,LGAG4DY31E3812290
BAA 718T,,01-07-16,30-06-17,,150813,LA93NAFZ19
BAA6246,,03-07-16,30-06-17,,150814,UZJ100-0137502
BAA2698,,05-07-16,30-09-16,,150815,LVAV2MBB7GJ004192
ACX 1601T,,01-01-20,31-12-20,,150819,LA9AGEBCXD0BHD207
BAA2697,,07-07-16,30-09-16,,150816,LVAV2MBB7GJ004133
BAA2699,,07-07-16,30-09-16,,150820,VAV2MBBXFJ014844
AAA2699,,09-07-16,30-09-16,,150820,LVBV4JBB4FJ046414
TBA DELTA,,11-07-16,30-09-16,,150822,LVBV3JBB6FJ046407
TBA DELT,,11-07-16,30-09-16,,150823,LVCB2NBA8FS045589
BAD 4087,,11-07-16,30-09-16,,150824,LVAV2MBB8DJ053705
ACX7353,,12-07-16,30-09-16,,150826,LVAV2MBB5DJ017115
11CD20Z,,12-07-16,30-06-17,,150825,WDD2452322J097837
BAD4183,,13-07-16,30-09-16,,150827,LVBV6PEC4EL006165
AAA2698,,05-07-16,30-09-16,,150829,LVAV2MBB7GJ0
AAA 2697,,05-07-16,30-09-16,,150829,LVAV2MBB7GJ004133
AAA 2699,,01-10-16,30-09-17,,150947,LVAV2MBBXFJ014844
ABE 9790,,01-10-16,30-09-17,,150948,FNB15-021611
BAD4534,,18-07-16,30-06-17,,150832,AHTFZ29G909144849
BAD 3079,,09-06-16,30-06-17,,150836,LVBV4JBB8EJ045822
BAD 2757,,13-06-16,30-06-17,,150837,LVAV3JBB4EJ062247
BAD4883,,24-07-16,30-06-17,,150838,AHTFZ29G809143479
AAA2695,,01-10-16,30-09-17,,150945,ADX492051GAA03525
AAA2695,,24-07-16,30-09-16,,150841,ADX492051GAA03526
ABK9478,,28-07-16,30-06-17,,150843,LNJBHDE167L409985
BAA3681,,05-08-16,30-06-17,,150844,LGAX5DF51E3812307
ABD 6527,,03-08-16,31-03-17,,,AHT33LNG90-8007687
BAA3692,,21-08-16,30-09-17,,150846,LGAX4DD36E3812808
BAA7661,,23-08-16,30-09-17,,150849,LGAX4DD39E3812804
BAA6975,,23-08-16,30-09-17,,150847,LGAX4DD37E3812798
BAA7660,,20-08-16,30-09-17,,150848,LGAX4DD35E3812797
TBA 4.8.1,,05-08-16,30-09-16,,150850,LVBV4JBBXFJ046424
TBA 4.8.2,,05-08-16,30-09-16,,150851,LVAV4JBB9FJ068415
BAB3814,,08-08-16,30-09-17,,150853,LVAV2MBB1FJ014845
ACZ9042,,01-10-16,30-09-17,,150854,LGAX5DF50E3812783
ALV6010,,10-09-16,30-09-17,,150887,LGAC1A139E180685
BAA3685,,22-09-16,30-09-17,,150856,LGAX5DF51E3812310
BAA4704,,01-10-16,30-09-17,,150857,LGAX5DF58E3812773
ALB1269,,22-08-16,30-06-17,,150858,MNTVCUD40Z0029939
ALE7684,,22-08-16,30-06-17,,150859,AHTFZ29G509074718
ALX 2803,,01-07-18,30-06-19,,150860,GX110-6033505
BAD772,,01-10-16,31-12-16,,150861,LZZ5CLSB1GW140613
BAD1859,,01-07-19,30-06-20,,1355415,LZZ5CLSB3GW140614
BAD1865,,01-07-19,30-06-20,,150863,LZZ5CLSB8GW140608
BAD1858,,01-07-19,30-06-20,,1355416,LZZ5CLSB5GW140615
BAD1886T,,01-07-19,30-06-20,,150865,LA0940L36G9WM8026
BAD1861,,01-10-16,31-12-16,,150866,LZZ5CLSBXGW140612
BAD1862,,01-07-19,30-06-20,,150867,LZZ5CLSB8GW140611
BAD1863,,01-07-19,30-06-20,,150868,LZZ5CLSB6GW140610
BAD1867,,01-07-19,30-06-20,,150870,LZZ5CLSB6GW140607
BAD1910,,01-07-19,30-06-20,,150871,LZZ5CLSB4GW140606
BAD1925T,,01-07-19,30-06-20,,150873,LA0940L36G9WM8030
BAD1927T,,01-07-19,30-06-20,,150874,LA0940L36G9WM8031
BAD1928T,,01-10-16,31-12-16,,150875,LA0940L36G9WM8032
BAD1930T,,01-10-16,31-12-16,,150876,LA0940L36G9WM8033
BAD1931T,,01-07-19,30-06-20,,150877,LA0940L36G9WM8034
BAD1932T,,01-10-16,31-12-16,,150878,LA0940L36G9WM8027
BAD1936T,,01-10-16,31-12-16,,150880,LA0940L36G9WM8025
AAA 2695,,01-10-16,30-09-17,,150946,ADX492051GAA03526
BAC 3239,,01-09-16,31-12-16,,150886,LVBV6PECFL010770
(AAA)2695,,01-09-16,31-12-16,,150885,MAT396522F2R11954
BAD 7094,,01-10-18,31-03-19,,150891,LVAV2MBBXGJ004133
BAD7096,,01-10-19,31-12-19,,1354961,LVAV2MBB7GJ004192
TBA1,,12-09-16,31-12-16,,150893,LVBV3JBB0FJ046404
TBA2,,12-09-16,31-12-16,,150894,LVBV3JBB1FJ046413
TBA(3),,12-09-16,31-12-16,,150895,LVBV3JBB9FJ046403
TBA(4),,12-09-16,31-12-16,,150896,LVBV3JBB2FJ046405
TBA(5),,12-09-16,31-12-16,,150897,LVBV3JBB5FJ046401
BAD 1892,,01-01-20,31-12-20,,150898,LVBV6PEC8EL005990
TBA (JIA),,17-09-16,30-09-17,,150899,LVBV4JBB9GJ037750
BAA8885,,17-09-16,31-12-16,,150900,LGAX4DD38E3812812
ALX 2563,,01-10-19,30-09-20,,1569960,RZJ120-0012203
BAD7962,,21-09-16,31-12-16,,150904,LVBV4JBB5GJ037759
BAD 8045,,22-09-16,30-09-17,,150907,LVBV6PEC3EL005993
BAD 8046,,22-09-16,30-09-17,,150908,LVBV6PEC5EL005994
BAD 8044,,21-11-18,30-09-19,,150906,LVBV6PEC1EL005992
BAD 8047,,21-11-18,30-09-19,,150910,LVBV6PEC2EL006164
BAD 8048,,21-11-18,30-09-19,,150911,LVBV6PECXEL005991
BAD 4183,,22-09-16,30-09-17,,150914,LVBV6PEC4EL006165
BAD  8153,,21-11-18,30-09-19,,150913,LVBV6PEC5GH010876
BAD 8078,,21-11-18,30-09-19,,150912,LVBV6PEC7EL006161
ALX2490,,23-09-16,30-09-17,,150916,WDB211220B118065
BAB5365,,01-10-16,30-09-17,,150925,NZE121-0218996
BAB8407,,01-10-16,30-09-17,,150926,NZT240-0092636
BAB8601,,01-10-16,30-09-17,,150927,ZRE142-6002077
TBA DA1,,24-09-16,30-09-17,,150924,LVBV4JBB3GJ037761
BAD9081,,27-09-16,30-09-17,,150928,LVBV3JBB6FJ046410
BAA6978,,04-10-16,30-09-17,,150929,LGAX4DD38E3812794
ACZ2006,,23-10-16,30-09-17,,150930,LJNMDVIE3ENO43D71
ACZ1993,,23-10-16,30-09-17,,150931,LJNMDVIE5ENO43069
BAD6677,,01-10-17,30-09-18,,150932,ZNE10-0390835
ACZ2004,,23-10-16,30-09-17,,150933,LJNMDVIEIENO43070
BAA6979,,05-10-16,30-09-17,,150935,LGAX4DD38E3812793
BAA6976,,05-10-16,30-09-17,,150955,LGAX4DD32E3812787
BAB8114,,10-10-16,30-09-17,,150937,LGAX5DF50E3812766
BAB8108,,10-10-16,30-09-17,,150938,LGAX5DF52E3812784
BAA3679,,01-10-16,31-12-16,,150942,LGAX5DF53E3812308
BAA3680,,01-10-16,31-12-16,,150943,LGAX5DF5XE3812306
BAA3693,,01-10-16,31-12-16,,150944,LGAX5DF55E3812309
ACX 1601T,,01-01-18,31-12-18,,151114,LA9AGEBCXD0BHD207
BAD2411,,01-10-16,30-09-17,,150949,JTELB71J907078661
ALR9735,,02-10-16,30-09-17,,150950,1C4RJFFG9EC141764
BAD 9075,,04-04-20,31-03-21,,150951,LVBV3JBBXFJ046409
BAB8112,,11-10-16,30-09-17,,150952,LGAX5DF5XE3812774
BAD9604,,20-10-16,30-09-17,,150958,LVBL4JBB4GJ037755
BAD  9886,,01-10-19,30-09-20,,150965,LVBV4JBB7GJ037746
BAD9837,,01-01-20,31-12-20,,150976,LVBV4JBB4GJ037753
TBAJS2,,,,,,
BAD 9837,,25-10-16,31-12-16,,150961,LVBV4JBB4GJ037753
BAD9837,,25-10-16,31-12-16,,150962,LVBV4JBB4GJ037753
BAD 9838,,01-01-20,31-12-20,,150963,LVBV4JBB0GJ037751
BAD 9839,,25-10-16,31-12-16,,150964,LVBV4JBBXGJ037756
TBA P,,25-10-16,30-09-17,,150965,JN1TNY62Z0025270
BAD 9967,,26-10-16,31-12-16,,150966,LVBV6PEC8FL009250
BAB 9887,,28-10-16,30-09-17,,150969,LZZ5ELMF5FD924796
BAC 1337,,28-10-16,30-09-17,,150970,LZGJBJL15FX028572
BAC 1338,,28-10-16,30-09-17,,150971,LZGJBJL13FX028571
BAB 9889,,28-10-16,30-09-17,,150973,LZZ5BLND0FN077334
BAB 9890,,28-10-16,30-09-17,,,WDAKHCAA6CL721245
BAB 4387,,28-10-16,30-09-17,,150978,LZZ5BLND0FN077332
BAD 1435,,28-10-16,30-09-17,,150979,LZGJLDR4XFX023528
BAD 1437,,28-10-16,30-09-17,,150980,LZGJLDR48FX023530
BAD 1436,,28-10-16,30-09-17,,150981,LZGJLDR41FX023529
BAD 1434,,28-10-16,30-09-17,,150982,20140449
BAC 1812,,28-10-16,30-09-17,,150983,LZZ5BLND0FN077333
BAB 190,,28-10-16,30-09-17,,150984,LZZ5ELND6FD924769
BAD 8154,,01-10-19,30-09-20,,1569959,LVBV4JBB9GJ037750
BAA 9973,,28-10-16,30-09-17,,150986,LZZ5ELND2FD924770
BAB 5857,,28-10-16,31-12-16,,150987,NZE121-5071911
BAB5857,,28-10-16,31-12-16,,150987,NZE121-5071911
BAC 5415,,01-01-20,31-03-20,,1570932,LVBV4JBB6FJ046422
BAC 5416,,01-01-20,31-03-20,,1570931,LVBV4JBB2FJ046420
BAB6186,,01-10-19,30-09-20,,1570027,JTERBU3FJXG5070189
BAB 6462,,01-04-20,31-03-21,,1571738,MROJB6CD2G1750053
BAB6139,,30-10-16,30-09-17,,150992,MROJB6CD5G1750063
BAB 6571,,01-04-20,31-03-21,,1571750,MROJB6CDXG1750057
BAB 6254,,01-04-20,31-03-21,,1571751,MROJB6CD8G1750087
BAB 6129,,01-10-18,31-03-19,,150995,MROJB6CD9G1750017
ALM 5589T,,04-11-16,31-12-17,,,AA92744863ADA1274
BCA 2420,,01-01-20,31-12-20,,1570652,AHTER39G608005030
BAB 8113,,04-11-16,31-12-17,,150998,LGAX5DF52E3812767
BAC 2096,,09-12-16,31-12-17,,,GD1-1181785
BAD,,07-11-16,30-09-17,,,LVAV2MBBXGJ004204
BCA 6177,,08-11-16,30-09-17,,,LGAX5DF55E3812312
MCC 158,,09-11-16,31-12-17,,611866,JNITANY62Z0025287
ARB 251,,10-11-16,30-06-17,,151105,LZZ5ELNB3EN852209
ARB 269,,10-11-16,30-06-17,,151106,LZZ5ELNB7EN852214
